# 단일 인스턴스 + 세마포어 (동시 처리 50)
# TOTAL_REQUESTS = 1000
# CONCURRENT_TASKS = 50

[INFO] 요청 239 완료 (응답 시간: 85.8806초)
[INFO] 요청 240 완료 (응답 시간: 85.8283초)
[INFO] 요청 241 완료 (응답 시간: 85.8052초)
[INFO] 요청 242 완료 (응답 시간: 85.6062초)
[INFO] 요청 243 완료 (응답 시간: 85.7133초)
[INFO] 요청 244 완료 (응답 시간: 85.9300초)
[INFO] 요청 245 완료 (응답 시간: 85.8082초)
[INFO] 요청 246 완료 (응답 시간: 85.7694초)
[INFO] 요청 247 완료 (응답 시간: 85.4571초)
[INFO] 요청 248 완료 (응답 시간: 85.6968초)
[INFO] 요청 249 완료 (응답 시간: 85.6669초)
[INFO] 요청 250 완료 (응답 시간: 85.6851초)
[INFO] 요청 251 완료 (응답 시간: 85.4678초)
[INFO] 요청 252 완료 (응답 시간: 85.4630초)
[INFO] 요청 253 완료 (응답 시간: 85.2584초)
[INFO] 요청 254 완료 (응답 시간: 85.2691초)
[INFO] 요청 255 완료 (응답 시간: 84.2966초)
[INFO] 요청 256 완료 (응답 시간: 83.7203초)
[INFO] 요청 257 완료 (응답 시간: 83.5236초)
[INFO] 요청 258 완료 (응답 시간: 83.4401초)
[INFO] 요청 259 완료 (응답 시간: 83.4927초)
[INFO] 요청 260 완료 (응답 시간: 83.4261초)
[INFO] 요청 261 완료 (응답 시간: 82.4436초)
[INFO] 요청 262 완료 (응답 시간: 82.0237초)
[INFO] 요청 263 완료 (응답 시간: 81.8036초)
[INFO] 요청 264 완료 (응답 시간: 80.1533초)
[INFO] 요청 265 완료 (응답 시간: 79.6678초)
[INFO] 요청 266 완료 (응답 시간: 79.7077초)
[INFO] 요청 267 완료 (응답 시간: 79.7455초)
[INFO] 요청 268 완료 (응답 시간: 79.7626초)
[INFO] 요청 269 완료 (응답 시간: 79.7621초)
[INFO] 요청 270 완료 (응답 시간: 79.5354초)
[INFO] 요청 271 완료 (응답 시간: 79.3500초)
[INFO] 요청 272 완료 (응답 시간: 79.2326초)
[INFO] 요청 273 완료 (응답 시간: 79.3802초)
[INFO] 요청 274 완료 (응답 시간: 79.4223초)
[INFO] 요청 275 완료 (응답 시간: 79.2527초)
[INFO] 요청 276 완료 (응답 시간: 79.1723초)
[INFO] 요청 277 완료 (응답 시간: 79.1175초)
[INFO] 요청 278 완료 (응답 시간: 79.0100초)
[INFO] 요청 279 완료 (응답 시간: 79.0445초)
[INFO] 요청 280 완료 (응답 시간: 79.1252초)
[INFO] 요청 281 완료 (응답 시간: 79.1581초)
[INFO] 요청 282 완료 (응답 시간: 78.3245초)
[INFO] 요청 283 완료 (응답 시간: 78.1684초)
[INFO] 요청 284 완료 (응답 시간: 77.4648초)
[INFO] 요청 285 완료 (응답 시간: 77.6733초)
[INFO] 요청 286 완료 (응답 시간: 77.6090초)
[INFO] 요청 287 완료 (응답 시간: 77.5785초)
[INFO] 요청 288 완료 (응답 시간: 78.2388초)
[INFO] 요청 289 완료 (응답 시간: 78.2393초)
[INFO] 요청 290 완료 (응답 시간: 78.2193초)
[INFO] 요청 291 완료 (응답 시간: 78.2855초)
[INFO] 요청 292 완료 (응답 시간: 78.2867초)
[INFO] 요청 293 완료 (응답 시간: 78.1012초)
[INFO] 요청 294 완료 (응답 시간: 77.7703초)
[INFO] 요청 295 완료 (응답 시간: 77.8402초)
[INFO] 요청 296 완료 (응답 시간: 77.8628초)
[INFO] 요청 297 완료 (응답 시간: 77.8667초)
[INFO] 요청 298 완료 (응답 시간: 77.5342초)
[INFO] 요청 299 완료 (응답 시간: 77.7827초)
[INFO] 요청 300 완료 (응답 시간: 80.0175초)
[INFO] 요청 301 완료 (응답 시간: 80.6396초)
[INFO] 요청 302 완료 (응답 시간: 80.7247초)
[INFO] 요청 303 완료 (응답 시간: 80.7623초)
[INFO] 요청 304 완료 (응답 시간: 82.8303초)
[INFO] 요청 305 완료 (응답 시간: 82.8066초)
[INFO] 요청 306 완료 (응답 시간: 82.8564초)
[INFO] 요청 307 완료 (응답 시간: 82.9330초)
[INFO] 요청 308 완료 (응답 시간: 83.6323초)
[INFO] 요청 309 완료 (응답 시간: 83.6014초)
[INFO] 요청 310 완료 (응답 시간: 83.7370초)
[INFO] 요청 311 완료 (응답 시간: 83.9350초)
[INFO] 요청 312 완료 (응답 시간: 83.9524초)
[INFO] 요청 313 완료 (응답 시간: 83.9685초)
[INFO] 요청 314 완료 (응답 시간: 83.7981초)
[INFO] 요청 315 완료 (응답 시간: 83.8577초)
[INFO] 요청 316 완료 (응답 시간: 83.8202초)
[INFO] 요청 317 완료 (응답 시간: 84.2128초)
